rule_id,domain,page_type,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
LAY-013,layout,all,grid-search-spacing,Use space-6 horizontal and space-5 vertical spacing for search/form conditions,Search form condition layout,"layout,grid,search,form,condition,spacing,24px,20px",Search conditions and form fields should have 24px (space-6) horizontal spacing and 20px (space-5) vertical spacing,Use grid or flex with 24px gap horizontally and 20px gap vertically for search conditions and form fields,Do not use inconsistent spacing between search conditions or form fields,24px|20px,Applies to all search and form condition layouts
LAY-014,layout,all,grid-title-search-spacing,Use space-5 (20px) spacing between page title and search/form area,Page title search form spacing,"layout,title,grid,search,form,spacing,20px",There should be 20px (space-5) spacing between page title and search/form area,Use 20px margin-bottom on title or 20px margin-top on search/form area,Do not use arbitrary spacing between page title and search/form area,20px,Applies to all pages with search or form areas
LAY-015,layout,all,container-padding,Use space-5 vertical and space-6 horizontal padding for cards and collapsible panels,Card collapsible panel padding,"layout,card,collapse,panel,padding,20px,24px",Card and collapsible panel containers should have 20px (space-5) top/bottom and 24px (space-6) left/right padding,Apply padding of 20px top/bottom and 24px left/right to card containers and collapsible panels,Do not use arbitrary padding values for cards or collapsible panels,20px|24px,Applies to all content cards and collapsible panels
DET-001,detail-page,detail-page,overview-area-required,Overview area is a required section in detail pages,Detail page overview header card,"detail-page,overview,header,required,section",The overview area (detail page header card) is a required section that introduces the page title and basic information,Always include the overview area as the first section of a detail page,Do not omit the overview area or replace it with a non-standard header,,Required section; element IDs: 1a,1,2,3,13,4
DET-002,detail-page,detail-page,overview-icon,Use 40px × 40px for overview icon/avatar size,Detail page overview area icon logo avatar,"detail-page,overview,icon,avatar,size,40px",The icon/logo/avatar in the detail page overview area should be 40px by 40px; supports custom images,Set icon/avatar container to 40px × 40px with object-fit cover,Do not use arbitrary or oversized icon/avatar dimensions,40px × 40px,Optional element (1); supports custom images
DET-003,detail-page,detail-page,overview-title-required,Title area is required with main title mandatory and subtitle optional,Detail page overview title area,"detail-page,overview,title,main-title,subtitle,required",The title area in the overview is required; main title is mandatory; subtitle is optional; supports tags and favorite feature (max 5); tag content width max 120px,Always render the main title; show subtitle only when provided; limit tags to 5 with max-width 120px each,Do not omit the main title or allow more than 5 tags or tags wider than 120px,main title required|max 5 tags|120px,Required element (2); supports tags and favorite/bookmark
DET-004,detail-page,detail-page,overview-basic-info,Limit basic info to 6 items with 160px width and 32px spacing,Detail page overview basic info area,"detail-page,overview,basic-info,spacing,160px,32px",Basic info should not exceed 6 items; each item content width should not exceed 160px with ellipsis for overflow; spacing between items should be 32px,Use max-width 160px per item with text-overflow ellipsis and 32px gap between items; cap at 6 items,Do not allow more than 6 basic info items or use inconsistent spacing or let text overflow without ellipsis,6 items|160px|32px,Optional element (3); overflow shows ellipsis
DET-005,detail-page,detail-page,overview-remark,Use 16px spacing from title and default text color #161E26 for remark area,Detail page overview remark area notes links icons,"detail-page,overview,remark,spacing,color,16px,161E26,0067D1,46515D",Remark area should have 16px spacing from the title area; default text color is #161E26; link colors can be #0067D1 or #46515D; supports tags/auxiliary text/help icons/jump links,Apply 16px margin-top from title; set default text color to #161E26; use #0067D1 or #46515D for links or secondary text,Do not use arbitrary colors or spacing between remark and title area,#161E26|#0067D1|#46515D|16px,Optional element (13); supports tags/text/help icons/links
DET-006,detail-page,detail-page,overview-actions,Collapse extra function icons into More menu when exceeding 3,Detail page overview function area share like more,"detail-page,overview,function,action,icon,more,dropdown",Function area icons should collapse into a More menu when exceeding 3 items; can be replaced with a dropdown filter,Show up to 3 icons directly; wrap additional icons into a More/dropdown menu,Do not display more than 3 icons without a More overflow menu,3 icons max,Optional element (4); supports share/like/common actions
DET-007,detail-page,detail-page,content-area-required,Content area is a required section supporting single-tab or single-container mode,Detail page content area tabs containers,"detail-page,content,tabs,containers,required,section",The content area is required; supports single-tab operation and single-container operation,Always include the content area with either tab-based or container-based layout,Do not omit the content area or mix incompatible layout modes,,Required section; element IDs: 2a,2e,2b,2c,2d
DET-008,detail-page,detail-page,tab-container-required,Tab container is required with element 10 following by default,Detail page content tab container,"detail-page,content,tab-container,required",Tab container is required; element 5 (horizontal tabs) can be hidden; element 10 (horizontal tab buttons) follows by default; can configure containers and cards below,Always render tab container; show element 10 buttons by default; allow element 5 to be hidden,Do not omit tab container or break element 10 default following behavior,,Required element (2a); element 5 optional hideable; element 10 follows
DET-009,detail-page,detail-page,left-tree-slot,Left tree slot defaults to vertical tabs with 3-level max depth,Detail page content left tree slot vertical tabs,"detail-page,content,left-tree,vertical-tab,depth,levels",Left tree slot defaults to vertical tab style; element 9 (left tab buttons) follows by default; clicking switches right content area; text overflow shows ellipsis; max 3 levels recommended; supports custom style replacement,Use vertical tabs with max 3 nesting levels; show ellipsis for text overflow; enable right content area switching,Do not allow more than 3 nesting levels or let text overflow without ellipsis,3 levels max,Optional element (2e); element 9 follows by default
DET-010,detail-page,detail-page,collapse-container-required,Collapse panel container is required with elements 6 and 7 following,Detail page content collapse panel container,"detail-page,content,collapse,panel,container,required",Collapse panel container is required; supports expand/collapse; elements 6 (collapse title) and 7 (collapse buttons) follow by default,Always render collapse panel container with expand/collapse behavior; show element 6 and 7 by default,Do not omit collapse panel container or hide elements 6 and 7 without reason,,Required element (2b); elements 6 and 7 follow by default
DET-011,detail-page,detail-page,collapse-slot,Collapse panel inner slot supports adding components or nested containers,Detail page content collapse panel slot,"detail-page,content,collapse,panel,slot,nested",Collapse panel container slot can add components (forms tables etc.) or nested collapse panel containers,Use the slot to render forms/tables or recursively nest collapse panel containers,Do not place non-component elements directly in the slot without wrapping,,Optional element (2c); supports recursive nesting
DET-012,detail-page,detail-page,custom-slot,Custom slot supports cards or containers with style reference,Detail page content custom slot card container,"detail-page,content,custom-slot,card,container,progress",Custom slot can render cards (refer to homepage card component specs) or containers (progress bar collapse panel); container behavior matches 2a and 2b specs,Render cards using homepage card component styles or containers following 2a/2b interaction rules,Do not use arbitrary card styles that deviate from homepage card component specs,,Optional element (2d); cards reference homepage card component
DET-013,detail-page,detail-page,horizontal-tab,Limit horizontal tabs to 10 with max 142px width; multi-level goes to left slot,Detail page content horizontal tabs,"detail-page,content,tabs,horizontal,tab,142px",Horizontal tabs are single-level only; multi-level tabs go in 2e left vertical slot; max 10 tabs; each tab width max 142px,Use max-width 142px per tab with text-overflow ellipsis; limit to 10 tabs; route multi-level tabs to left tree slot,Do not allow multi-level horizontal tabs or more than 10 tabs or tab width exceeding 142px,10 tabs|142px|single level only,Optional element (5); hideable
DET-014,detail-page,detail-page,collapse-title-required,Collapse panel title is required with max 10 characters,Detail page collapse panel title arrow,"detail-page,collapse,panel,title,characters",Collapse panel title is required; expand/collapse arrow follows by default; title should not exceed 10 characters,Use text-overflow ellipsis for titles exceeding 10 characters; always show expand/collapse arrow,Do not omit collapse panel title or allow unbounded title length,10 characters max,Required element (6); arrow follows by default
DET-015,detail-page,detail-page,collapse-buttons,Collapse panel buttons respond to current panel only with primary button on far right,Detail page collapse panel buttons edit review,"detail-page,collapse,panel,buttons,primary",Collapse panel buttons respond only to the current panel; supports business-specific buttons like single-module edit or pre-review; primary button on the far right,Scope button actions to the current panel only; place primary button at the far right,Do not let collapse buttons affect other panels or place primary button in non-rightmost position,,Optional element (7); supports business-specific button additions
DET-016,detail-page,detail-page,form-component,Standard template provides form component with flow layout,Detail page content form component,"detail-page,content,form,flow-layout,standard-template",Standard template provides form component with flow layout; can be replaced via 2d custom slot (refer to 2d specs),Use standard form component with flow layout; swap via 2d slot for custom styles,Do not use non-flow layouts for standard form or deviate from 2d replacement rules,,Optional element (8); replaceable via 2d slot
DET-017,detail-page,detail-page,left-tree-buttons,Left tree tab buttons at page bottom non-floating with primary on far right,Detail page left tree slot buttons,"detail-page,content,left-tree,buttons,primary,non-floating",Left tree tab buttons act on 2e left tree slot layer; positioned at page bottom; non-floating; hideable; clicking refreshes current page or opens new page; supports adding buttons; primary on far right,Place buttons at page bottom without floating; scope click actions to page refresh or new page navigation; primary button on far right,Do not float left tree buttons or let them affect non-tree layers,,Optional element (9); hideable
DET-018,detail-page,detail-page,horizontal-tab-buttons,Horizontal tab buttons float when content exceeds one screen,Detail page tab container buttons floating,"detail-page,content,tab-buttons,horizontal,floating,primary",Horizontal tab buttons act on 2a tab container layer; positioned at tab container bottom; float when page content exceeds one screen; hideable; clicking refreshes page or navigates in-page; primary on far right,Float buttons only when content exceeds viewport; hide when not needed; primary button on far right,Do not float buttons when content fits within one screen or hide primary button from rightmost position,,Optional element (10); hideable; floats on scroll overflow
DET-019,detail-page,detail-page,container-divider-required,Divider is required between content containers,Detail page content area container divider separator,"detail-page,content,container,divider,separator,required",A divider line must be added between two content containers by default,Render a divider/separator between adjacent content containers,Do not omit dividers between content containers without explicit reason,,Required element (14)
DET-020,detail-page,detail-page,bottom-check-slot,Bottom action bar check prompt slot is optional,Detail page bottom action bar check prompt,"detail-page,bottom,action-bar,check,prompt,slot",Check item prompt slot supports checkbox text link and expand-more; placed before buttons in the bottom action bar,Render check prompt with checkbox/link/expand-more as needed before the action buttons,Do not place check prompt after buttons or outside the bottom action bar,,Optional element (3a); supports checkbox/text-link/expand-more
DET-021,detail-page,detail-page,bottom-action-buttons-required,Page-level floating action buttons with max 7 visible and More overflow,Detail page bottom action bar buttons floating more,"detail-page,bottom,action-bar,button,more,floating,required",Page-level buttons are required; floating display; clicking refreshes current page or opens new page; max 7 visible; extras collapse into More; supports button groups; primary on far right,Show up to 7 buttons directly; wrap additional into More overflow; float at bottom; primary button on far right,Do not show more than 7 buttons or place primary button in non-rightmost position or remove floating behavior,7 buttons max,Required element (12); supports button groups
DET-022,detail-page,detail-page,nesting-three-layers,Enforce strict three-layer container nesting structure,Detail page container nesting structure layout,"detail-page,nesting,container,structure,three-layers",Page structure must follow three layers: Layer 1 (top-level container) defines skeleton and navigation; Layer 2 (content container) organizes content blocks; Layer 3 (content unit) holds final text/images/interactions,Always nest containers in Layer1 > Layer2 > Layer3 order; never skip layers or add extra levels,Do not skip nesting layers or add a 4th level or nest Layer 3 containers back into Layer 1,,Three-layer strict structure
DET-023,detail-page,detail-page,nesting-layer1-types,Layer 1 top-level containers include tab/collapse/horizontal-nav containers,Detail page nesting layer 1 top-level container types,"detail-page,nesting,layer1,top-level,container-types",Layer 1 top-level container types: tab container, collapse panel container, horizontal navigation container, tree menu container, split container,Use only the defined container types at Layer 1,Do not use undefined container types at the top level,,"tab container,collapse panel container,horizontal nav container,tree container,tree menu container,split container",Layer 1 defines page skeleton and navigation mode
DET-024,detail-page,detail-page,nesting-layer2-types,Layer 2 content container types include tab/collapse/tree/title/multi-column containers,Detail page nesting layer 2 content container types,"detail-page,nesting,layer2,content,container-types",Layer 2 content container types: tab container, collapse panel container, tree container, title container, multi-column container, horizontal nav container,Use only the defined container types at Layer 2,Do not use undefined container types at Layer 2,,"tab container,collapse panel container,tree container,tree menu container,title container,multi-column container,horizontal nav container",Layer 2 organizes content blocks
DET-025,detail-page,detail-page,nesting-layer3-types,Layer 3 content unit types include multi-column/collapse/tab/title containers,Detail page nesting layer 3 content unit types,"detail-page,nesting,layer3,content-unit,container-types",Layer 3 content unit types: multi-column container, collapse panel container, tab container,Use only the defined container types at Layer 3,Do not use undefined container types at Layer 3,,"multi-column container,collapse panel container,tab container,title container",Layer 3 holds final content elements
DET-026,detail-page,detail-page,nesting-tab-allowed,Allowed nesting combinations for tab container (Layer 1),Detail page nesting rules tab container combinations,"detail-page,nesting,tab-container,allowed-combinations",Tab container (Layer 1) allows: tab>tab>multi-column/collapse-panel; tab>collapse-panel>title/multi-column; tab>tree>collapse-panel/multi-column; tab>tree-menu>collapse-panel/multi-column; tab>title>multi-column; tab>multi-column>title; tab>horizontal-nav>collapse-panel,Only use the defined combinations when tab container is at Layer 1,Do not pair tab container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = tab container
DET-027,detail-page,detail-page,nesting-collapse-allowed,Allowed nesting combinations for collapse panel container (Layer 1),Detail page nesting rules collapse panel combinations,"detail-page,nesting,collapse-panel,allowed-combinations",Collapse panel container (Layer 1) allows: collapse>tab>title/multi-column; collapse>tree>title/multi-column; collapse>title>multi-column; collapse>multi-column>title,Only use the defined combinations when collapse panel container is at Layer 1,Do not pair collapse panel container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = collapse panel container
DET-028,detail-page,detail-page,nesting-horizontal-nav-allowed,Allowed nesting combinations for horizontal nav container (Layer 1),Detail page nesting rules horizontal nav combinations,"detail-page,nesting,horizontal-nav,allowed-combinations",Horizontal nav container (Layer 1) allows: nav>collapse>title/multi-column; nav>tree>collapse-panel; nav>tree-menu>collapse-panel; nav>multi-column>title,Only use the defined combinations when horizontal nav container is at Layer 1,Do not pair horizontal nav container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = horizontal nav container
DET-029,detail-page,detail-page,nesting-tree-allowed,Allowed nesting combinations for tree container (Layer 1),Detail page nesting rules tree container combinations,"detail-page,nesting,tree-container,allowed-combinations",Tree container (Layer 1) allows: tree>collapse-panel>tab-container; tree>tab>collapse-panel,Only use the defined combinations when tree container is at Layer 1,Do not pair tree container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = tree container
DET-030,detail-page,detail-page,nesting-tree-menu-allowed,Allowed nesting combinations for tree menu container (Layer 1),Detail page nesting rules tree menu container combinations,"detail-page,nesting,tree-menu,allowed-combinations",Tree menu container (Layer 1) allows: tree-menu>tab>collapse-panel; tree-menu>collapse-panel>title,Only use the defined combinations when tree menu container is at Layer 1,Do not pair tree menu container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = tree menu container
DET-031,detail-page,detail-page,nesting-split-allowed,Allowed nesting combinations for split container (Layer 1),Detail page nesting rules split container combinations,"detail-page,nesting,split-container,allowed-combinations",Split container (Layer 1) allows: split>collapse-panel>title; split>title>(no Layer 3),Only use the defined combinations when split container is at Layer 1,Do not pair split container (Layer 1) with undefined Layer 2 or Layer 3 combinations,,See 4.1 container rules quick reference table,Layer 1 = split container
CRE-001,create-page,create-modal,modal-three-sections,Modal create page must have three vertical sections,Create/edit modal pages overlay,"create-page,modal,structure,header,content,footer",Modal create/edit pages must be divided into three vertical sections: top header area, middle content area, and bottom footer bar, scrollable content in middle, and fixed footer at bottom,Do not flatten the modal into a single undivided area or omit any of the three sections,,,Applies to all modal-level create/edit pages
CRE-002,create-page,create-modal,modal-header-required,Modal header area is required with business title and close button,Create/edit modal header,"create-page,modal,header,title,close-button",Modal header is required; contains business title (e.g. Create Payment Order) to confirm operation context and a close button at top-right to exit modal,Always render business title and close button in modal header; close button at top-right corner,Do not omit the header or remove the close button from the modal,,Required element; close button at top-right
CRE-003,create-page,create-modal,modal-content-required,Modal content area is required with form controls and upload components,Create/edit modal content,"create-page,modal,content,form,upload,hint",Modal content area is required; contains form controls (text input dropdown date picker etc.), upload/download components with preview, and hint information (field descriptions, format limits),Render form controls and upload components in scrollable content area; mark required fields with asterisk and show format hints,Do not put form controls outside content area or skip required field markers and format hints,,,Required element; supports text input/dropdown/date picker/upload/download/hints
CRE-004,create-page,create-modal,modal-footer-required,Modal footer bar is required and fixed at bottom,Create/edit modal footer bar,"create-page,modal,footer,button,submit,cancel,draft",Modal footer bar is required and fixed at bottom; background color should differ from content area for visual separation; contains global action buttons: submit/confirm (highlighted), save draft (secondary), cancel (low highlight),Do not make footer scrollable with content or remove any of the three standard button types,,,Required element; fixed at bottom with visual separation
CRE-005,create-page,create-page,breadcrumb-required,Page-level create pages require breadcrumb navigation,Page-level create pages,"create-page,page,breadcrumb,navigation",Page-level create pages must include breadcrumb navigation at top-left showing hierarchy path (e.g. Home > Workbench > List) with click-to-go-back support,Render breadcrumb at page top-left with clickable path segments,Do not omit breadcrumb or make breadcrumb non-interactive,,Required for page-level; supports click-to-navigate-back
CRE-006,create-page,create-page,page-title-required,Page-level create pages require clear module title,Page-level create pages,"create-page,page,title,module",Page-level create pages must display a clear module name as page title,Show a descriptive page title indicating the current module,Do not omit the page title or use ambiguous naming,,Required for page-level
CRE-007,create-page,create-page,page-content-filter-list,Page-level create pages include filter area and data list/table,Page-level create pages,"create-page,page,filter,list,table,pagination",Page-level create pages include: filter area at top with search and filter conditions; data list/table as core area with pagination, sorting, and column configuration; quick action buttons (create, export) above or beside list,Render filter area above the list/table; place quick actions (new/import/export) near the filter or table header; enable pagination and sorting,Do not remove filter area or quick action buttons or disable pagination,,,Required for page-level; supports search/filter/pagination/sorting/column-config
CRE-008,create-page,create-page,page-footer-pagination,Page-level footer includes pagination and record count,Page-level create pages footer,"create-page,page,footer,pagination,record-count",Page-level footer includes pagination controls (page number jump, page size setting) and statistics showing total record count under current filter,Render pagination at page bottom with page size selector and total record count display,,,Required for page-level list views
CRE-009,create-page,create-page,single-page-mode,Single-page mode for forms with few fields fitting within 1-2 screen heights,Create page form layout mode,"create-page,form,single-page,few-fields,layout",Single-page mode applies when form fields are few and fit within 1-2 screen heights; complete all input on one page without steps,Render all form fields on a single scrollable page when data volume is low,Do not force step-based layout when form fits on one page,,Applies when field count is low and data fits 1-2 screens
CRE-010,create-page,create-page,step-mode,Step mode for forms with heavy data or field dependencies,Create page form step layout mode,"create-page,form,step-mode,multi-step,dependency,validation",Step mode applies when form fields are many (exceeding 2 screen heights) or fields have front-to-back dependencies requiring partial validation before continuing; divide into steps for progressive entry,Split form into logical steps; validate current step before allowing next; support step navigation,Do not use single-page layout for heavy forms or skip intermediate validation when fields have dependencies,,Applies when field count is high or fields have sequential dependencies
CRE-011,create-page,create-page,required-field-marker,Required fields must be marked with red asterisk on the left of label,Create page form field labels,"create-page,form,required,marker,asterisk,label",Required form fields must have a red asterisk (*) marker on the left side of the field label,Place red asterisk before field label text for all required fields,Do not omit required markers or place them on the right side of the label,Red asterisk (*) left of label,Red asterisk only for required fields
CRE-015,create-page,create-page,primary-button-style,Primary action button uses blue-purple/deep blue color,Create page action buttons,"create-page,button,primary,submit,confirm,style,color",Primary action buttons (submit, confirm) should use blue-purple or deep blue color to represent strong-intent actions,Apply blue-purple/deep blue styling to primary action buttons,,blue-purple/deep blue,For submit/confirm strong-intent actions
LST-001,list-page,list-page,two-sections,List page consists of filter area and list area,List page layout structure,"list-page,layout,filter,list,structure",List page must have two sections: 1) filter area including views and filter conditions; 2) list area for presenting object list,Structure the page with filter area on top and list area below,Do not remove filter area or merge it into the list area without separation,,Two core sections: filter + list
LST-002,list-page,list-page,filter-area,Filter area includes views and filter conditions,List page filter area,"list-page,filter,view,condition,search",Filter area must include view switcher and filter conditions; used for narrowing down displayed data,Render filter area with view selector and filter condition controls above the list area,Do not omit filter area or remove view switching capability,,Required section; includes views and filter conditions
LST-003,list-page,list-page,list-area,List area presents the object list data,List page list area,"list-page,list,data,records,display",List area is the core display section for presenting object list data in the configured format (table or card),Render list area below filter area with data in table or card format,Do not remove list area or place non-list content in this section,,Required section; supports table and card formats
LST-004,list-page,list-page,table-mode,Use table mode when data volume exceeds 30 items or needs inline editing,List page table format,"list-page,table,inline-edit,high-volume,fast-operation",Table mode applies when: data volume is large (over 30 items) requiring one-screen bulk viewing; user needs frequent inline editing and adding without page switching,Use table layout when records exceed 30 or inline quick edit is a primary use case,Do not use table mode for small datasets under 10 items that benefit from visual display,Applies to high-volume data and inline editing scenarios
LST-005,list-page,list-page,card-mode,Use card mode when data volume is small or needs graphical presentation,List page card format,"list-page,card,graphical,low-volume,read-only",Card mode applies when: data volume is small (under 10 items); information needs graphical presentation (products personnel etc.); no inline editing or adding needed on the page,Use card layout when records are under 10 or visual/graphical representation is required,Do not use card mode for large datasets over 30 items or when inline editing is needed,Applies to low-volume data and visual display scenarios
LST-006,list-page,list-page,card-single-column,Single-column card layout for small quantity scenarios,List page card single column,"list-page,card,single-column,one-column,few-items",Single-column card layout (one row one column) applies when the number of items is small and each card needs full width display,Use one card per row when item count is low and each item benefits from full-width presentation,Do not force single-column layout when more items need to be visible at once,For small quantity scenarios
LST-007,list-page,list-page,card-multi-column,Multi-column card layout for more items with graphical display,List page card multi column,"list-page,card,multi-column,grid,more-items,graphical",Multi-column card layout (one row multiple columns) applies when more items need to be displayed and graphical presentation is required,Use grid-based card layout with multiple cards per row when item count is moderate and visual presentation matters,Do not use multi-column when items need full-width display or inline editing is required,For moderate quantity with graphical display needs
APV-001,approval-page,approval-page,three-column-layout,Approval page uses three-column plus bottom bar composite layout,Approval page layout structure,"approval-page,layout,three-column,left-panel,right-panel,bottom-bar",Approval page adopts a three-column plus bottom bar composite layout: left panel (common detail area) reuses detail template for order/business info and material details; right panel (approval process area) uses vertical timeline for approval records and process status; bottom bar has custom slot on left and decision buttons on right,Structure with left detail panel and right approval panel side by side and fixed bottom bar,Do not use single-column layout or remove any of the three main areas,,Left panel = detail template; Right panel = timeline; Bottom = slot + buttons
APV-002,approval-page,approval-page,header-navigation,Approval page header includes logo, navigation menu, search, notifications and user avatar,Approval page header area,"approval-page,header,navigation,logo,menu,search,notification,avatar",Render all header elements with logo at top-left and user controls at top-right; page title prominently displayed,Do not omit navigation menu or remove notification/icon controls,,,Supports quick copy/add operations
APV-003,approval-page,approval-page,header-apply-info,Header apply info block with max 6 form fields,Approval page header apply information,"approval-page,header,apply-info,applicant,time,type,status",Header includes an apply info block showing applicant, apply time, apply type,Display up to 6 key fields in the apply information block,Do not exceed 6 fields in the header apply info block,,6 fields max,Highlights order ID and key status
APV-004,approval-page,approval-page,left-panel-detail,Left panel reuses common detail template with tabs and material table,Approval page left panel content,"approval-page,left-panel,detail,tabs,material,table,pagination",Left panel reuses common detail template with: tab navigation (collapsible); basic info area with company/order number/status; material info area with toolbar (import/export/query/search/refresh/settings) and data table with pagination; bottom action area with decision and pre-review buttons,Render tabs, basic info, and pagination in left panel,Do not remove tab navigation or pagination or disable table toolbar operations,,,Supports multi-level collapsible tabs; table supports sort/filter/batch ops
APV-005,approval-page,approval-page,right-panel-timeline,Right panel shows approval process as vertical timeline,Approval page right panel approval process,"approval-page,right-panel,timeline,approval,process,vertical",Right panel displays approval history and current process node as a vertical timeline with: top toggle tabs (approval records / approval progress); filter tabs (all/agreed only/rejected only/transferred only); timeline nodes connected by lines showing flow order,Use vertical timeline with nodes connected by lines; support toggle and filter views,Do not use horizontal layout for approval process or remove timeline connection lines,,Default view is approval records
APV-006,approval-page,approval-page,timeline-node,Each timeline node contains avatar, status icon, role name, status text, timestamp and comments,Approval page timeline node structure,Each timeline node contains: role avatar + status icon (agreed/rejected/pending); role name; status text (pending/submitted/rejected/agreed); timestamp; responsible/authorized person info; expandable approval comments,Render all node elements with expand/collapse for comments; use color to distinguish status (green=agreed, red=rejected, blue=pending),Do not omit timestamp or make comments non-expandable,,green=agreed|red=rejected|blue=pending,Comments support collapse/expand to avoid info overload
APV-007,approval-page,approval-page,bottom-bar-slot,Bottom bar left slot for dynamic business fields with text truncation,Approval page bottom bar custom slot,"approval-page,bottom-bar,slot,field,truncation,hover,tips",Bottom bar left side has a custom slot area for dynamic business key fields or hints; supports rich text or plain text; overflow text auto-truncated with hover tooltip; max 11 grid characters (622px); background color建议light pink/light gray to distinguish from main interface,Render custom slot with text truncation at 622px max width; show full content on hover tooltip; use light background color,Do not let slot text overflow without truncation or use aggressive background colors,11 grid characters max; auto-truncate with hover tips
