rule_id,domain,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
FDN-010,foundation,color,Use standard Tailwind neutral color classes,Neutral colors text background,"color,neutral,text,background,link,border,separator,tailwind","Neutral colors: text-primary #191919->text-gray-900, text-regular #595959->text-gray-600, link #0067D1->text-blue-600, bg-page #F5F6F8->bg-gray-50, bg-container #FFFFFF->bg-white, border #C9C9C9->border-gray-300, separator #DFDFDF->border-gray-200",Use for neutral colors,Do not use hard-coded hex values for neutral colors,#191919|#595959|#0067D1|#F5F6F8|#FFFFFF|#C9C9C9|#DFDFDF|#F3F3F3,Applies to all neutral color usage. Important: 1) Ensure CSS token definitions are complete in project CSS files 2) Third-party library components do not automatically use CSS variables - custom styles are required to override default component styles
FDN-011,foundation,typography,Use standard Tailwind typography classes for headings,Typography scale font sizes line heights,"typography,font,size,line-height,tailwind","Font sizes must use enterprise typography scale: base text-sm(14px), h1 text-2xl(24px), h2 text-xl(20px)",Use for typography scale,Do not use arbitrary font sizes or line heights outside the scale,12px|32px|24px|1.5,Applies to all typography
FDN-012,foundation,shadow,Use standard shadow classes,Shadow elevation levels,"shadow,elevation,tailwind","Shadows must use: shadow-sm, shadow, shadow-2xl","Use shadow-sm (small), shadow (medium), shadow-2xl (large)",Do not use hard-coded box-shadow values,"0 1px 6px rgba(0,0,0,0.08)|0 4px 12px rgba(0,0,0,0.08)|0 8px 24px rgba(0,0,0,0.16)",Applies to all shadow usage
FDN-013,foundation,radius,Use standard border radius classes,Border radius tokens,"radius,border,corner,tailwind","Border radius: 2px->rounded-[2px], 4px->rounded, 8px->rounded-lg",Use for border radius,Do not use hard-coded border-radius values,2px|4px|8px,Applies to all border radius usage
FDN-014,foundation,spacing,Use standard spacing scale for layout rhythm,Spacing scale layout rhythm,"spacing,layout,rhythm,tailwind","Spacing scale: 4px->1, 8px->2, 12px->3, 16px->4, 20px->5, 24px->6, 32px->8",Use for spacing,Do not use hard-coded spacing values,4px|8px|24px|4px|8px|12px|16px|24px|32px,Applies to all spacing usage
FDN-015,foundation,typography,Use text-xs (12px) for compact helper text,Compact helper text components,"typography,font,size,12px,body-1,helper","Helper text, dropdown options, radio/checkbox labels, tags must use text-xs (12px) with leading-5 (20px)",Use font-body-1 or text-xs with normal or medium weight according to component semantics,Do not use arbitrary font sizes for compact helper content,12px|20px,Applies to compact helper and supporting text
FDN-016,foundation,typography,Use text-sm (14px) for default interactive components,Default interactive components,"typography,font,size,14px,body-2,default","Default buttons, tabs, inputs, sidebar items, table body text must use text-sm (14px) with leading-6 (22px)",Use font-body-2 or text-sm with normal or medium weight according to component semantics,Do not use arbitrary font sizes for default interactive components,14px|22px,Applies to default component text
FDN-017,foundation,typography,Use text-sm font-bold (14px/700) for compact titles,Compact titles and headers,"typography,font,size,14px,headline-2,bold,700","Table headers, dialog titles, compact section titles must use text-sm font-bold (14px/700)",Use font-headline-2 or text-sm with font-bold for compact titles,Do not use arbitrary font sizes or weights for compact titles,14px|700,Applies to table headers dialog titles and compact section titles
FDN-018,foundation,typography,Use text-base font-bold (16px/700) for card titles,Emphasized controls navigation and card titles,"typography,font,size,16px,headline-2,bold,700,card,title","Large buttons, level-1 navigation, card titles must use text-base font-bold (16px/700)",Use font-headline-2 or text-base with font-bold for emphasized controls navigation and card titles,Do not use arbitrary font sizes or weights for emphasized controls navigation or card titles,16px|700,Applies to emphasized controls primary navigation and card titles
FDN-019,foundation,typography,Use text-2xl font-bold (24px) for main page headings,Main page headings,"typography,font,size,24px,title,heading",Main page headings must use text-2xl font-bold (24px) with leading-8 (32px),Use text-2xl with a compatible heading line height and font-bold,Do not use arbitrary font sizes for main page headings,24px|32px,Applies to main page titles and major section headers
